"date","location","deaths","injuries","description","date_string","day_of_week","month","year","state"
"1966-10-05","Grand Rapids, Minnesota","1","1","<a href='https://en.wikipedia.org/wiki/Grand_Rapids_High_School' title='Grand Rapids High School'>Grand Rapids High School</a> student, 15-year-old David Black, killed school administrator Forrest Willey and seriously wounded fellow student, 14-year-old Kevin Roth.<sup id='cite_ref-137' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-137'>[137]</a></sup><sup id='cite_ref-FOOTNOTECrews20169_138-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20169-138'>[138]</a></sup>","October 5, 1966","Wednesday","October","1966","Minnesota"
"1966-11-12","Mesa, Arizona","5","2","18-year-old Bob Smith, took seven people hostage at Rose-Mar College of Beauty and ordered them to lie down in a circle. He shot each in the head. Four women and a 3-year-old girl died, a woman and a baby were injured but survived. Police arrested Smith, who reportedly admired <a href='https://en.wikipedia.org/wiki/Richard_Speck' title='Richard Speck'>Richard Speck</a> and <a href='https://en.wikipedia.org/wiki/Charles_Whitman' title='Charles Whitman'>Charles Whitman</a>.<sup id='cite_ref-139' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-139'>[139]</a></sup>","November 12, 1966","Saturday","November","1966","Arizona"
"1967-05-03","Northlake, Illinois","1","1","18-year-old dropout, Michael Pisarski killed his former girlfriend, 17-year-old Christine Mitchell inside West Leyden High School. The school's athletic director was wounded.<sup id='cite_ref-140' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-140'>[140]</a></sup>","May 3, 1967","Wednesday","May","1967","Illinois"
"1968-01-30","Miami, Florida","1","0","16-year-old Blanche Ward killed fellow student, 16-year-old Linda Lipscomb, at Miami Jackson High School. According to Ward, she was threatened with a razor by Lipscomb during an argument over a fountain pen, and in the ensuing struggle the gun went off.<sup id='cite_ref-141' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-141'>[141]</a></sup>","January 30, 1968","Tuesday","January","1968","Florida"
"1968-02-08","Orangeburg, South Carolina","3","27","In the days leading up to February 8, 1968, about two hundred mostly student civil rights protesters gathered on the campus of <a href='https://en.wikipedia.org/wiki/South_Carolina_State_University' title='South Carolina State University'>South Carolina State University</a> to protest the continued racial segregation of the All Star Bowling Lane after passage in 1964 of federal legislation prohibiting such action. That night, students started a bonfire. As police attempted to put out the fire, an officer was struck and injured by an object. Police later said they believed they were under attack by small weapons fire. The officers fired into the crowd, killing 18-year-old Samuel Hammond Jr., 17-year-old Delano Herman Middleton, and 19-year-old Henry Ezekial Smith, and wounding twenty-seven others.<sup id='cite_ref-FOOTNOTEFinley2014323_136-1' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014323-136'>[136]</a></sup><sup id='cite_ref-142' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-142'>[142]</a></sup>","February 8, 1968","Thursday","February","1968","South Carolina"
"1968-03-25","High Point, North Carolina","1","0","15-year-old David Lee Walker, was killed just outside Central High School, by 15-year-old Gerald Locklear.<sup id='cite_ref-143' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-143'>[143]</a></sup>","March 25, 1968","Monday","March","1968","North Carolina"
"1968-05-22","Miami, Florida","0","2","Ernest Lee Grissom, a 15-year-old student at Drew Junior High School, seriously wounded a teacher and a 13-year-old student after he had been reprimanded for behavior.<sup id='cite_ref-144' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-144'>[144]</a></sup>","May 22, 1968","Wednesday","May","1968","Florida"
"1969-01-17","Los Angeles, California","2","0","Alprentice Carter and John Huggins, two student members of the <a href='https://en.wikipedia.org/wiki/Black_Panther_Party' title='Black Panther Party'>Black Panther Party</a>, were fatally shot during a student meeting inside Campbell Hall at the <a href='https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles' title='University of California, Los Angeles'>University of California, Los Angeles</a>. Reportedly there was disagreement over who would control the school's African American Studies Center. The shooter, Claude Hubert, was never found; three other men were later arrested in connection with the shooting.<sup id='cite_ref-145' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-145'>[145]</a></sup>","January 17, 1969","Friday","January","1969","California"
"1969-01-23","Washington, D.C.","1","0","45-year-old <a href='https://en.wikipedia.org/wiki/Cardozo_Senior_High_School' class='mw-redirect' title='Cardozo Senior High School'>Cardozo Senior High School</a> assistant principal, Herman Clifford, was killed in the school's hallway, by 18-year-old Ronald Joyner, while trying to stop him and two other youths who had robbed the school's bank.<sup id='cite_ref-146' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-146'>[146]</a></sup>","January 23, 1969","Thursday","January","1969","D.C."
"1969-05-13","Winston-Salem, North Carolina","1","0","13-year-old Ernest Napoleon Carter Jr. was accidentally killed, by a 13-year-old classmate at Hanes Junior High School who was armed with a pistol. The shooter was charged with <a href='https://en.wikipedia.org/wiki/Involuntary_manslaughter' class='mw-redirect' title='Involuntary manslaughter'>involuntary manslaughter</a>. Carter's mother filed a lawsuit against the Winston-Salem/Forsyth County Board of Education for $50,000 in damages.<sup id='cite_ref-147' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-147'>[147]</a></sup>","May 13, 1969","Tuesday","May","1969","North Carolina"
"1969-11-19","Tomah, Wisconsin","1","0","46-year-old Martin Mogensen, principal of Tomah Junior High School, was killed in his office by a 14-year-old boy.<sup id='cite_ref-148' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-148'>[148]</a></sup>","November 19, 1969","Wednesday","November","1969","Wisconsin"
"1970-01-05","Washington, D.C.","1","1","15-year-old Tyrone Perry, was killed at Hine Junior High School.<sup id='cite_ref-149' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-149'>[149]</a></sup>","January 5, 1970","Monday","January","1970","D.C."
"1970-02-11","Philadelphia, Pennsylvania","1","2","<a href='https://en.wikipedia.org/wiki/University_of_Pennsylvania' title='University of Pennsylvania'>University of Pennsylvania</a> professors, 40-year-old Walter Koppelman, and 45-year-old <a href='https://en.wikipedia.org/wiki/Oscar_Goldman_(mathematician)' title='Oscar Goldman (mathematician)'>Oscar Goldman</a>, were shot by 33-year-old disgruntled graduate student, Robert Cantor, during a seminar. Cantor then took his own life. Koppelman died March 5 from his injuries, but Goldman recovered.<sup id='cite_ref-150' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-150'>[150]</a></sup>","February 11, 1970","Wednesday","February","1970","Pennsylvania"
"1970-05-04","Kent, Ohio","4","9","<a href='https://en.wikipedia.org/wiki/Kent_State_shootings' title='Kent State shootings'>Kent State shootings</a>: During protests of the Vietnam War at Kent State University, armed National Guard Soldiers opened fire on unarmed students, killing four people.<sup id='cite_ref-FOOTNOTEFinley2014323_136-2' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014323-136'>[136]</a></sup><sup id='cite_ref-151' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-151'>[151]</a></sup><sup id='cite_ref-FOOTNOTEFinley2011247-252_152-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2011247-252-152'>[152]</a></sup>","May 4, 1970","Monday","May","1970","Ohio"
"1970-05-15","Jackson, Mississippi","2","12","<a href='https://en.wikipedia.org/wiki/Jackson_State_killings' title='Jackson State killings'>Jackson State killings</a>: Two students were killed and twelve others injured when police opened fire on students gathered to protest the US military presence <a href='https://en.wikipedia.org/wiki/Cambodian_Civil_War' title='Cambodian Civil War'>in Cambodia</a>.<sup id='cite_ref-153' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-153'>[153]</a></sup><sup id='cite_ref-FOOTNOTEFinley2011293_154-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2011293-154'>[154]</a></sup><sup id='cite_ref-FOOTNOTEFinley2014324_155-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014324-155'>[155]</a></sup>","May 15, 1970","Friday","May","1970","Mississippi"
"1970-11-20","Chicago, Illinois","0","2","Two students were shot while standing in a second floor hallway of <a href='https://en.wikipedia.org/wiki/Harlan_Community_Academy_High_School' title='Harlan Community Academy High School'>Harlan High School</a>. 15-year-old Kenneth House, was shot in the lower left abdomen, his condition was described as serious. 14-year-old Portia Walls, suffered a superficial wound on her lower back. The incident was thought to have involved gang recruiting in the school.<sup id='cite_ref-156' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-156'>[156]</a></sup>","November 20, 1970","Friday","November","1970","Illinois"
"1971-02-02","Philadelphia, Pennsylvania","1","0","56-year-old teacher, Samson L. Freedman, was killed as he left Morris E. Leeds School, by 14-year-old student, Kevin Simmons. Freedman had suspended Simmons earlier in the day for cursing in the hallway.<sup id='cite_ref-157' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-157'>[157]</a></sup>","February 2, 1971","Tuesday","February","1971","Pennsylvania"
"1971-11-11","Spokane, Washington","2","4","21-year-old former MIT student, Larry J. Harmon, armed with a rifle, killed 68-year-old caretaker, Hilary Kunzon, who came upon him wrecking St. Aloysius Roman Catholic Church, then fled onto the campus of <a href='https://en.wikipedia.org/wiki/Gonzaga_University' title='Gonzaga University'>Gonzaga University</a>, where he wounded four more people before police officers killed him. Harmon was described by his father as a religious fanatic claiming to have visions.<sup id='cite_ref-158' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-158'>[158]</a></sup>","November 11, 1971","Thursday","November","1971","Washington"
"1973-02-26","Richmond, Virginia","1","0","17-year-old Wayne Phillips, was killed when he was caught between two youths who were fighting in the hallway of <a href='https://en.wikipedia.org/wiki/Armstrong_High_School_(Richmond,_Virginia)' class='mw-redirect' title='Armstrong High School (Richmond, Virginia)'>Armstrong High School</a>.<sup id='cite_ref-159' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-159'>[159]</a></sup>","February 26, 1973","Monday","February","1973","Virginia"
"1973-11-06","Oakland, California","1","1","School superintendent <a href='https://en.wikipedia.org/wiki/Marcus_Foster' title='Marcus Foster'>Marcus Foster</a>, was killed and his assistant Robert Blackburn, was wounded when members of the <a href='https://en.wikipedia.org/wiki/Symbionese_Liberation_Army' title='Symbionese Liberation Army'>Symbionese Liberation Army</a> opened fire on them as they exited a school board meeting. Two members of the SLA were later arrested and convicted of the crime. Both were sentenced to life in prison without the possibility of parole. The SLA had reportedly believed that Foster supported a measure to install police on school grounds and make students carry identification cards. In reality, Foster opposed both measures.<sup id='cite_ref-160' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-160'>[160]</a></sup>","November 6, 1973","Tuesday","November","1973","California"
"1974-01-17","Chicago, Illinois","1","0","52-year-old elementary school principal, Rudolph Jezek Jr., was killed in his office by 14-year-old Steven Guy, a former student said to be angry about being transferred to a social adjustment center.<sup id='cite_ref-161' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-161'>[161]</a></sup>","January 17, 1974","Thursday","January","1974","Illinois"
"1974-03-22","Brownstown, Indiana","1","0","48-year-old Jessie Blevins, athletic director at <a href='https://en.wikipedia.org/wiki/Brownstown_Central_High_School' title='Brownstown Central High School'>Brownstown Central High School</a>, was fatally shot in the school parking lot by a 17-year-old student waiting for him. He gave the police no motive.<sup id='cite_ref-162' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-162'>[162]</a></sup>","March 22, 1974","Friday","March","1974","Indiana"
"1974-10-04","Kent, Ohio","0","1","19-year-old <a href='https://en.wikipedia.org/wiki/McKeesport,_Pennsylvania' title='McKeesport, Pennsylvania'>McKeesport</a> student, Ray D. Gilmore, was wounded in a scuffle with two men in his third floor campus dormitory room. 26-year-old Benjamin F. Goodman and 22-year-old Carl Bell, who were not students, had their .32 caliber pistols taken and were wrestled to the floor by other students.<sup id='cite_ref-163' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-163'>[163]</a></sup>","October 4, 1974","Friday","October","1974","Ohio"
"1974-12-30","Olean, New York","3","11","During a two-and-a-half-hour siege, 18-year-old honor student, Anthony Barbaro, the best on his rifle team, killed three adults in and around his high school and wounded eleven other persons.<sup id='cite_ref-FOOTNOTEFinley2014324_155-1' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014324-155'>[155]</a></sup><sup id='cite_ref-FOOTNOTECrews20168_164-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20168-164'>[164]</a></sup> He shot from the windows out at the street and neighborhood. The school was closed for the Christmas holiday.<sup id='cite_ref-165' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-165'>[165]</a></sup>","December 30, 1974","Monday","December","1974","New York"
"1975-02-24","Penns Grove, New Jersey","1","1","24-year-old David Gary killed the 33-year-old Reverend Thomas Quinlan, inside a classroom at St. James School. Quinlan was the school's principal. A teacher was also wounded.<sup id='cite_ref-166' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-166'>[166]</a></sup>","February 24, 1975","Monday","February","1975","New Jersey"
"1975-03-18","St. Louis, Missouri","1","0","16-year-old Stephen Goods, a bystander, was killed during a fight between other teens. Three youths were convicted for the homicide.<sup id='cite_ref-FOOTNOTECrews20168_164-1' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20168-164'>[164]</a></sup>","March 18, 1975","Tuesday","March","1975","Missouri"
"1975-09-11","Oklahoma City, Oklahoma","1","5","Student James Briggs killed fellow student Randy Truitt at Grant High School, wounding several others.<sup id='cite_ref-167' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-167'>[167]</a></sup>","September 11, 1975","Thursday","September","1975","Oklahoma"
"1976-02-12","Detroit, Michigan","0","5","Intruders entered <a href='https://en.wikipedia.org/wiki/Murray-Wright_High_School' title='Murray-Wright High School'>Murray-Wright High School</a>, shooting and wounding five students after an apparent dispute over a girlfriend of one of the intruders.<sup id='cite_ref-168' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-168'>[168]</a></sup>","February 12, 1976","Thursday","February","1976","Michigan"
"1976-07-12","Fullerton, California","7","2","The gunman, 37-year-old Edward Charles Allaway, was a custodian at the <a href='https://en.wikipedia.org/wiki/California_State_University,_Fullerton' title='California State University, Fullerton'>California State University, Fullerton</a> library. Allaway killed seven people and wounded two others in the library's first-floor lobby and at the building's Instructional Media Center (IMC), located in the basement.","July 12, 1976","Monday","July","1976","California"
"1976-11-10","Detroit, Michigan","1","0","46-year-old Al Lewis, killed his estranged wife, 46-year-old Betty McCaster, as she was teaching thirty-six 6-and-7-year-old students at Burt Elementary School.<sup id='cite_ref-169' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-169'>[169]</a></sup>","November 10, 1976","Wednesday","November","1976","Michigan"
"1977-04-07","Whitharral, Texas","1","0","High School principal, M. O. Tripp, was killed on the front steps of the school by 17-year-old student, Ricardo Lopez, for unknown reasons.<sup id='cite_ref-170' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-170'>[170]</a></sup>","April 7, 1977","Thursday","April","1977","Texas"
"1978-01-11","Hopkinsville, Kentucky","0","1","At 8:10&#160;a.m., 13-year-old student, Andre Davis, was wounded while watching a fight between two students in the front lobby of Christian County Middle School, one of whom had a gun. A 16-year-old was charged with the assault.<sup id='cite_ref-171' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-171'>[171]</a></sup>","January 11, 1978","Wednesday","January","1978","Kentucky"
"1978-02-09","St. Albans, West Virginia","1","0","14-year-old Hayes Junior High School student, Stuart Wayne Perrock, killed 14-year-old schoolmate, Arthur Clinton Smith.<sup id='cite_ref-172' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-172'>[172]</a></sup>","February 9, 1978","Thursday","February","1978","West Virginia"
"1978-02-22","Lansing, Michigan","1","1","After being taunted for his beliefs, 15-year-old Roger Needham, self-proclaimed Nazi, killed one student and wounded a second with a pistol at <a href='https://en.wikipedia.org/wiki/Everett_High_School_(Michigan)' title='Everett High School (Michigan)'>Everett High School</a>.<sup id='cite_ref-FOOTNOTECrews20168_164-2' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20168-164'>[164]</a></sup><sup id='cite_ref-173' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-173'>[173]</a></sup>","February 22, 1978","Wednesday","February","1978","Michigan"
"1978-04-26","Dallas, Texas","1","0","38-year-old Woodrow Porter, a janitor at Paul Dunbar Elementary School, was killed by the 56-year-old grandmother of an 8-year-old who was allegedly spanked by Porter earlier.<sup id='cite_ref-174' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-174'>[174]</a></sup>","April 26, 1978","Wednesday","April","1978","Texas"
"1978-05-18","Austin, Texas","1","0","13-year-old John Daniel Christian, son of <a href='https://en.wikipedia.org/wiki/Lyndon_B._Johnson' title='Lyndon B. Johnson'>Lyndon B. Johnson</a>'s former press secretary <a href='https://en.wikipedia.org/wiki/George_Christian_(journalist)' title='George Christian (journalist)'>George Christian</a>, killed his English teacher, 29-year-old Wilbur Grayson, with his father's rifle in front of approximately thirty classmates at Murchison Junior High School.<sup id='cite_ref-FOOTNOTEFinley2014324_155-2' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014324-155'>[155]</a></sup><sup id='cite_ref-FOOTNOTECrews20168_164-3' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20168-164'>[164]</a></sup> Christian was arrested and charged but not prosecuted; he was committed to a mental hospital where he was treated for a period and released.<sup id='cite_ref-FOOTNOTEPerlineGoldschmidt2004342_175-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEPerlineGoldschmidt2004342-175'>[175]</a></sup>","May 18, 1978","Thursday","May","1978","Texas"
"1978-10-17","University City, Missouri","0","4","18-year-old Larry Ward and two companions were escorted from the halls of <a href='https://en.wikipedia.org/wiki/University_City_High_School_(Missouri)' title='University City High School (Missouri)'>University City High School</a> following a fight with 18-year-old student, Carl Triplett. Ward ran back into the building with a gun and fired shots into a group, critically injuring Triplett in the chest and hip, and wounding 17-year-old Angela Darden and 16-year-old Jennifer Pride. Ward sustained a head injury as he was tackled by assistant principal, Franklin McCallie. His companions grabbed the gun and fled.<sup id='cite_ref-176' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-176'>[176]</a></sup>","October 17, 1978","Tuesday","October","1978","Missouri"
"1978-10-17","Lanett, Alabama","1","0","13-year-old Robin Robinson, was paddled by Lanett Junior High School principal, Lewis Hoggs, after having a disagreement with another student. Robinson left the school, and returned with a .22-caliber handgun and shot Hoggs, grazing the top of his head.<sup id='cite_ref-FOOTNOTEFinley2014324_155-3' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2014324-155'>[155]</a></sup><sup id='cite_ref-FOOTNOTEKlein2013153_177-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEKlein2013153-177'>[177]</a></sup><sup id='cite_ref-178' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-178'>[178]</a></sup> Robinson was arrested two hours later about two blocks from the school, and later charged in juvenile court.<sup id='cite_ref-FOOTNOTEPerlineGoldschmidt2004342_175-1' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEPerlineGoldschmidt2004342-175'>[175]</a></sup><sup id='cite_ref-FOOTNOTEChalmers200910_179-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEChalmers200910-179'>[179]</a></sup><sup id='cite_ref-FOOTNOTEChalmers2009120-121_180-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEChalmers2009120-121-180'>[180]</a></sup>","October 17, 1978","Tuesday","October","1978","Alabama"
"1979-01-29","San Diego, California","2","9","<a href='https://en.wikipedia.org/wiki/Cleveland_Elementary_School_shooting_(San_Diego)' title='Cleveland Elementary School shooting (San Diego)'>Cleveland Elementary School shooting</a>: 16-year-old Brenda Spencer opened fire on Grover Cleveland Elementary School from her home across the street, killing two adults and wounding nine people.<sup id='cite_ref-FOOTNOTECrews20168_164-4' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTECrews20168-164'>[164]</a></sup><sup id='cite_ref-FOOTNOTEFinley2011453-458_181-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTEFinley2011453-458-181'>[181]</a></sup><sup id='cite_ref-182' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-182'>[182]</a></sup><sup id='cite_ref-183' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-183'>[183]</a></sup><sup id='cite_ref-184' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-184'>[184]</a></sup><sup id='cite_ref-185' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-185'>[185]</a></sup>","January 29, 1979","Monday","January","1979","California"
"1979-04-16","Milwaukee, Wisconsin","0","1","17-year-old Timothy Stahle was critically wounded in the leg and upper thigh, with shot gun pellets, as he threw rocks at the windows of <a href='https://en.wikipedia.org/wiki/Wisconsin_Lutheran_High_School' title='Wisconsin Lutheran High School'>Wisconsin Lutheran High School</a>. 28-year-old school janitor, Kenneth B. Stein, was arrested.<sup id='cite_ref-186' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-186'>[186]</a></sup>","April 16, 1979","Monday","April","1979","Wisconsin"
"1979-09-28","Charlestown, Massachusetts","0","1","15-year-old sophomore, Darryl Williams, was shot in the neck by a sniper during the half-time interval, while standing with teammates and coach in the end zone of the <a href='https://en.wikipedia.org/wiki/Charlestown_High_School' title='Charlestown High School'>Charlestown High School</a> football field. The player for the predominantly black Jamaica Plain High School team was left paralysed. A racial motivation was determined by Mayor Kevin White.<sup id='cite_ref-187' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-187'>[187]</a></sup> 17-year-old white youths, Joseph Nardone and Stephen McGonagle, were charged with the shooting and received ten year sentences.<sup id='cite_ref-188' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-188'>[188]</a></sup>","September 28, 1979","Friday","September","1979","Massachusetts"
"1980-01-07","Stamps, Arkansas","1","0","16-year-old Evan Hampton, high school freshman student at Stamps High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turning in the gun and waiting for his arrest by police.<sup id='cite_ref-189' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-189'>[189]</a></sup>","January 7, 1980","Monday","January","1980","Arkansas"
"1980-03-20","Dallas, Texas","1","0","49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant.<sup id='cite_ref-190' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-190'>[190]</a></sup>","March 20, 1980","Thursday","March","1980","Texas"
"1980-03-26","Big Rapids, Michigan","1","0","Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at <a href='https://en.wikipedia.org/wiki/Ferris_State_College' class='mw-redirect' title='Ferris State College'>Ferris State College</a>; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college.<sup id='cite_ref-191' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-191'>[191]</a></sup>","March 26, 1980","Wednesday","March","1980","Michigan"
"1980-10-31","Hueytown, Alabama","1","1","17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of <a href='https://en.wikipedia.org/wiki/Hueytown_High_School' title='Hueytown High School'>Hueytown High School</a>, he then turned his gun on himself.<sup id='cite_ref-192' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-192'>[192]</a></sup>","October 31, 1980","Friday","October","1980","Alabama"
"1981-01-27","Fayetteville, Arkansas","1","1","19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the <a href='https://en.wikipedia.org/wiki/Delta_Delta_Delta' title='Delta Delta Delta'>Delta Delta Delta</a> sorority house on the <a href='https://en.wikipedia.org/wiki/University_of_Arkansas' title='University of Arkansas'>University of Arkansas</a> campus. He entered the house at 5:45&#160;p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room.<sup id='cite_ref-193' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-193'>[193]</a></sup>","January 27, 1981","Tuesday","January","1981","Arkansas"
"1981-04-17","Ann Arbor, Michigan","2","0","As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of <a href='https://en.wikipedia.org/wiki/Bursley_Hall' title='Bursley Hall'>Bursley Hall</a> dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his <a href='https://en.wikipedia.org/wiki/University_of_Michigan' title='University of Michigan'>University of Michigan</a> schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades.<sup id='cite_ref-194' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-194'>[194]</a></sup><sup id='cite_ref-195' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-195'>[195]</a></sup> In 1982, he was convicted on two counts of first-degree murder and sentenced to life.<sup id='cite_ref-FOOTNOTENash199281_196-0' class='reference'><a href='https://en.wikipedia.org/wiki/List_of_school_shootings_in_the_United_States#cite_note-FOOTNOTENash199281-196'>[196]</a></sup>","April 17, 1981","Friday","April","1981","Michigan"
